EC_number	UniProt_ID	Protein_Name	Pfam_ID	Species
5.4.1.3	A9WC36	2-methylfumaryl-CoA isomerase	PF02515	Chloroflexus aurantiacus (strain ATCC 29366 / DSM 635 / J-10-fl)
4.2.1.2	P05042	Fumarate hydratase class II	PF10415	Escherichia coli (strain K12)
4.2.1.2	P05042	Fumarate hydratase class II	PF00206	Escherichia coli (strain K12)
4.2.1.2	P0AC33	Fumarate hydratase class I, aerobic	PF05681	Escherichia coli (strain K12)
4.2.1.2	P0AC33	Fumarate hydratase class I, aerobic	PF05683	Escherichia coli (strain K12)
4.2.1.2	P14407	Fumarate hydratase class I, anaerobic	PF05681	Escherichia coli (strain K12)
4.2.1.2	P14407	Fumarate hydratase class I, anaerobic	PF05683	Escherichia coli (strain K12)
4.2.1.2	P9WN93	Fumarate hydratase class II	PF10415	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
4.2.1.2	P9WN93	Fumarate hydratase class II	PF00206	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
4.2.1.2	P95331	Fumarate hydratase class II	PF10415	Myxococcus xanthus (strain DK1622)
4.2.1.2	P95331	Fumarate hydratase class II	PF00206	Myxococcus xanthus (strain DK1622)
4.2.1.2	Q92PB6	Fumarate hydratase class II	PF10415	Rhizobium meliloti (strain 1021)
4.2.1.2	Q92PB6	Fumarate hydratase class II	PF00206	Rhizobium meliloti (strain 1021)
4.2.1.2	P28894	Fumarate hydratase class II 2	PF10415	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)
4.2.1.2	P28894	Fumarate hydratase class II 2	PF00206	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)
4.2.1.2	Q9ZCQ4	Fumarate hydratase class II	PF10415	Rickettsia prowazekii (strain Madrid E)
4.2.1.2	Q9ZCQ4	Fumarate hydratase class II	PF00206	Rickettsia prowazekii (strain Madrid E)
4.2.1.2	Q51404	Fumarate hydratase class II 2	PF10415	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)
4.2.1.2	Q51404	Fumarate hydratase class II 2	PF00206	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)
4.2.1.2	P0ACX5	Fumarase D	PF10965	Escherichia coli (strain K12)
4.2.1.2	P07343	Fumarate hydratase class II	PF10415	Bacillus subtilis (strain 168)
4.2.1.2	P07343	Fumarate hydratase class II	PF00206	Bacillus subtilis (strain 168)
4.2.1.2	O25883	Fumarate hydratase class II	PF10415	Helicobacter pylori (strain ATCC 700392 / 26695)
4.2.1.2	O25883	Fumarate hydratase class II	PF00206	Helicobacter pylori (strain ATCC 700392 / 26695)
4.2.1.2	P64172	Fumarate hydratase class II	PF10415	Staphylococcus aureus (strain Mu50 / ATCC 700699)
4.2.1.2	P64172	Fumarate hydratase class II	PF00206	Staphylococcus aureus (strain Mu50 / ATCC 700699)
4.2.1.2	P9WN92	Fumarate hydratase class II	PF10415	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)
4.2.1.2	P9WN92	Fumarate hydratase class II	PF00206	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)
4.2.1.2	Q7V024	Fumarate hydratase class II	PF10415	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)
4.2.1.2	Q7V024	Fumarate hydratase class II	PF00206	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)
4.2.1.2	Q7VR50	Fumarate hydratase class II	PF10415	Blochmanniella floridana
4.2.1.2	Q7VR50	Fumarate hydratase class II	PF00206	Blochmanniella floridana
