EC_number,Status,Protein_names,Total_Pfam_domains,Found_Pfam_domains,Not_found_Pfam_domains,Found_Pfams,Not_found_Pfams,Total_hits,Unique_proteins_with_hits,Hit_protein_IDs
1.1.1.298,FULLY_FOUND,NADP-dependent 3-hydroxy acid dehydrogenase YdfG; Probable malonic semialdehyde reductase RutE,2,2,0,"PF00106, PF00881",,67,9,WP_011242343.1; WP_011242366.1; WP_011242991.1; WP_011243157.1; WP_011243836.1; WP_011244739.1; WP_011378442.1; WP_011378491.1; WP_272948005.1
1.2.1.75,FULLY_FOUND,Unknown,2,2,0,"PF00106, PF13561",,38,8,WP_011242343.1; WP_011242366.1; WP_011242991.1; WP_011243157.1; WP_011243836.1; WP_011378442.1; WP_011378491.1; WP_272948005.1
1.3.1.84,FULLY_FOUND,Unknown; Acrylyl-CoA reductase AcuI; Probable acrylyl-CoA reductase AcuI,2,2,0,"PF00107, PF08240",,147,3,WP_011243371.1; WP_011377394.1; WP_423218607.1
1.3.5.1,FULLY_FOUND,Succinate dehydrogenase flavoprotein subunit; Fumarate reductase iron-sulfur subunit; Fumarate reductase flavoprotein subunit; Succinate dehydrogenase iron-sulfur subunit,6,6,0,"PF00890, PF02910, PF13085, PF13183, PF13237, PF13534",,271,27,WP_011242523.1; WP_011242552.1; WP_011242603.1; WP_011242885.1; WP_011242908.1; WP_011243037.1; WP_011243298.1; WP_011243324.1; WP_011243397.1; WP_011244229.1; WP_011244273.1; WP_011244684.1; WP_011244829.1; WP_011377457.1; WP_011377549.1; WP_011377658.1; WP_011377880.1; WP_011377912.1; WP_011377934.1; WP_011378061.1; WP_011378159.1; WP_011378229.1; WP_011378298.1; WP_011378437.1; WP_011378455.1; WP_011378517.1; WP_407830100.1
4.1.3.24,NOT_FOUND,Malyl-CoA/beta-methylmalyl-CoA/citramalyl-CoA lyase; L-malyl-CoA/beta-methylmalyl-CoA lyase,1,0,1,,PF03328,0,0,
4.1.3.25,NOT_FOUND,Unknown; Malyl-CoA/beta-methylmalyl-CoA/citramalyl-CoA lyase; L-malyl-CoA/beta-methylmalyl-CoA lyase,1,0,1,,PF03328,0,0,
4.2.1.116,FULLY_FOUND,Unknown,1,1,0,PF00378,,25,1,WP_011377638.1
4.2.1.148,NOT_FOUND,Unknown; Mesaconyl-CoA hydratase; Beta-methylmalyl-CoA dehydratase,4,0,4,,"No Pfam, PF01575, PF13452, PF19315",0,0,
4.2.1.153,NOT_FOUND,Unknown; Mesaconyl-C(4)-CoA hydratase,2,0,2,,"No Pfam, PF13452",0,0,
4.2.1.2,PARTIALLY_FOUND,"Fumarase D; Fumarate hydratase class I, anaerobic; Fumarate hydratase class II 1; Fumarate hydratase class I, aerobic; Fumarate hydratase class II; Fumarate hydratase class II 2",5,2,3,"PF00206, PF10415","PF05681, PF05683, PF10965",88,3,WP_011242850.1; WP_011377532.1; WP_039755911.1
5.1.99.1,FULLY_FOUND,methylmalonyl-CoA epimerase; Ethylmalonyl-CoA/methylmalonyl-CoA epimerase,1,1,0,PF13669,,75,3,WP_011242427.1; WP_011243199.1; WP_011377628.1
5.4.1.3,PARTIALLY_FOUND,Unknown; 2-methylfumaryl-CoA isomerase,2,1,1,PF00108,PF02515,1,1,WP_011242415.1
5.4.99.2,PARTIALLY_FOUND,Probable methylmalonyl-CoA mutase small subunit; Methylmalonyl-CoA mutase large subunit; Methylmalonyl-CoA mutase; Methylmalonyl-CoA mutase small subunit; Probable methylmalonyl-CoA mutase large subunit,2,1,1,PF02310,PF01642,39,3,WP_011242392.1; WP_011378007.1; WP_039755810.1
6.2.1.36,NOT_FOUND,Unknown,1,0,1,,No Pfam,0,0,
6.4.1.2,FULLY_FOUND,Unknown; acetyl-CoA carboxylase,7,7,0,"PF00289, PF00293, PF00364, PF01039, PF02785, PF02786, PF03255",,274,16,WP_011242365.1; WP_011242442.1; WP_011242491.1; WP_011242929.1; WP_011243131.1; WP_011243168.1; WP_011243247.1; WP_011243856.1; WP_011244040.1; WP_011244138.1; WP_011244449.1; WP_011244596.1; WP_011377412.1; WP_011377492.1; WP_011377850.1; WP_011377875.1
6.4.1.3,PARTIALLY_FOUND,Biotin carboxylase; Propionyl-CoA carboxylase beta chain; Putative propionyl-CoA carboxylase beta chain; Propionyl-CoA carboxylase alpha chain,7,5,2,"PF00289, PF00364, PF01039, PF02785, PF02786","PF18140, PF21139",220,11,WP_011242365.1; WP_011242442.1; WP_011242491.1; WP_011242929.1; WP_011243131.1; WP_011243247.1; WP_011243856.1; WP_011244040.1; WP_011244449.1; WP_011377850.1; WP_011377875.1
