EC_number	UniProt_ID	Protein_Name	Pfam_ID	Species
5.4.99.2	A0A846T7Y1	methylmalonyl-CoA mutase	PF01642	Synechococcaceae cyanobacterium SM1_2_3
5.4.99.2	A0A846SZS6	methylmalonyl-CoA mutase	PF01642	Synechococcaceae cyanobacterium SM1_2_3
5.4.99.2	A0A968UR75	methylmalonyl-CoA mutase	PF02310	Microcoleus sp. SM1_3_4
5.4.99.2	A0A968UR75	methylmalonyl-CoA mutase	PF01642	Microcoleus sp. SM1_3_4
5.4.99.2	A0A845ZDT2	Unknown	PF01642	Okeania sp. SIO3B3
4.2.1.2	Q7V024	Fumarate hydratase class II	PF10415	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)
4.2.1.2	Q7V024	Fumarate hydratase class II	PF00206	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)
4.2.1.2	Q7U8I1	Fumarate hydratase class II	PF10415	Parasynechococcus marenigrum (strain WH8102)
4.2.1.2	Q7U8I1	Fumarate hydratase class II	PF00206	Parasynechococcus marenigrum (strain WH8102)
4.2.1.2	Q7VA47	Fumarate hydratase class II	PF10415	Prochlorococcus marinus (strain SARG / CCMP1375 / SS120)
4.2.1.2	Q7VA47	Fumarate hydratase class II	PF00206	Prochlorococcus marinus (strain SARG / CCMP1375 / SS120)
4.2.1.2	Q7V5R2	Fumarate hydratase class II	PF10415	Prochlorococcus marinus (strain MIT 9313)
4.2.1.2	Q7V5R2	Fumarate hydratase class II	PF00206	Prochlorococcus marinus (strain MIT 9313)
4.2.1.2	Q55674	Fumarate hydratase class II	PF10415	Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa)
4.2.1.2	Q55674	Fumarate hydratase class II	PF00206	Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa)
4.2.1.2	Q8DIP7	Fumarate hydratase class II	PF10415	Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1)
4.2.1.2	Q8DIP7	Fumarate hydratase class II	PF00206	Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1)
4.2.1.2	A0A4P5VM45	Fumarate hydratase class II	PF10415	Cyanobium sp
4.2.1.2	A0A4P5VM45	Fumarate hydratase class II	PF00206	Cyanobium sp
4.2.1.2	A0A551YRI1	Fumarate hydratase class II	PF10415	Microcystis sp. M_QC_C_20170808_M3Col
